,Model,Data,Accuracy,MSE,Precision,Recall,f1
0,Multilevel-RP,generic,0.7912371134020618,0.019744497577023606,0.8085106382978723,0.7715736040609137,0.7896103896103895
1,Multilevel-RP,specific,0.788659793814433,0.019198322973072834,0.776595744680851,0.7849462365591398,0.7807486631016043
2,Varying slopes,generic,0.7860824742268041,0.019836125328418445,0.824468085106383,0.7560975609756098,0.7888040712468194
3,Varying slopes,specific,0.788659793814433,0.019391315394781377,0.776595744680851,0.7849462365591398,0.7807486631016043
