"","state_abb","state","gender","age","population"
"124","MT","Montana","male","35 - 44",59285
"125","NE","Nebraska","male","35 - 44",114622
"126","NV","Nevada","male","35 - 44",194585
"127","NH","New Hampshire","male","35 - 44",79148
"128","AR","Arkansas","male","35 - 44",182400
"129","NJ","New Jersey","male","35 - 44",577036
"130","NM","New Mexico","male","35 - 44",122794
"131","NY","New York","male","35 - 44",1226384
"132","NC","North Carolina","male","35 - 44",640044
"133","ND","North Dakota","male","35 - 44",43763
"134","OH","Ohio","male","35 - 44",698368
"135","OK","Oklahoma","male","35 - 44",238316
"136","OR","Oregon","male","35 - 44",262473
"137","PA","Pennsylvania","male","35 - 44",754817
"138","PR","Puerto Rico","male","35 - 44",213918
"139","CA","California","male","35 - 44",2588095
"140","RI","Rhode Island","male","35 - 44",61983
"141","SC","South Carolina","male","35 - 44",293008
"142","SD","South Dakota","male","35 - 44",49930
"143","TN","Tennessee","male","35 - 44",415306
"144","TX","Texas","male","35 - 44",1817289
"145","UT","Utah","male","35 - 44",196712
"146","VT","Vermont","male","35 - 44",35594
"147","VA","Virginia","male","35 - 44",543513
"148","WA","Washington","male","35 - 44",467868
"149","WV","West Virginia","male","35 - 44",115237
"150","CO","Colorado","male","35 - 44",372065
"151","WI","Wisconsin","male","35 - 44",350005
"152","WY","Wyoming","male","35 - 44",36673
"153","CT","Connecticut","male","35 - 44",214903
"154","DC","District of Columbia","male","35 - 44",46140
"155","DE","Delaware","male","35 - 44",53713
"156","FL","Florida","male","35 - 44",1206776
"157","AL","Alabama","male","45 - 54",318910
"158","AK","Alaska","male","45 - 54",51919
"159","GA","Georgia","male","45 - 54",683864
"160","HI","Hawaii","male","45 - 54",91316
"161","ID","Idaho","male","45 - 54",99759
"162","IL","Illinois","male","45 - 54",872272
"163","IN","Indiana","male","45 - 54",441962
"164","IA","Iowa","male","45 - 54",203574
"165","KS","Kansas","male","45 - 54",184406
"166","KY","Kentucky","male","45 - 54",301483
"167","LA","Louisiana","male","45 - 54",297186
"168","ME","Maine","male","45 - 54",98194
"169","AZ","Arizona","male","45 - 54",416472
"170","MD","Maryland","male","45 - 54",421117
"171","MA","Massachusetts","male","45 - 54",479307
"172","MI","Michigan","male","45 - 54",688806
"173","MN","Minnesota","male","45 - 54",378538
"174","MS","Mississippi","male","45 - 54",188013
"175","MO","Missouri","male","45 - 54",405022
"176","MT","Montana","male","45 - 54",65782
"177","NE","Nebraska","male","45 - 54",119635
"178","NV","Nevada","male","45 - 54",196081
"179","NH","New Hampshire","male","45 - 54",103974
"180","AR","Arkansas","male","45 - 54",189909
"181","NJ","New Jersey","male","45 - 54",649673
"182","NM","New Mexico","male","45 - 54",129091
"183","NY","New York","male","45 - 54",1350472
"184","NC","North Carolina","male","45 - 54",669410
"185","ND","North Dakota","male","45 - 54",46150
"186","OH","Ohio","male","45 - 54",789091
"187","OK","Oklahoma","male","45 - 54",243808
"188","OR","Oregon","male","45 - 54",255808
"189","PA","Pennsylvania","male","45 - 54",888389
"190","PR","Puerto Rico","male","45 - 54",216281
"191","CA","California","male","45 - 54",2597207
"192","RI","Rhode Island","male","45 - 54",73502
"193","SC","South Carolina","male","45 - 54",314169
"194","SD","South Dakota","male","45 - 54",53949
"195","TN","Tennessee","male","45 - 54",438134
"196","TX","Texas","male","45 - 54",1721481
"197","UT","Utah","male","45 - 54",154581
"198","VT","Vermont","male","45 - 54",44817
"199","VA","Virginia","male","45 - 54",580230
"200","WA","Washington","male","45 - 54",477097
"201","WV","West Virginia","male","45 - 54",125279
"202","CO","Colorado","male","45 - 54",358596
"203","WI","Wisconsin","male","45 - 54",407020
"204","WY","Wyoming","male","45 - 54",37201
"205","CT","Connecticut","male","45 - 54",265052
"206","DC","District of Columbia","male","45 - 54",38588
"207","DE","Delaware","male","45 - 54",62469
"208","FL","Florida","male","45 - 54",1346251
"209","AL","Alabama","male","> 54",620628
"210","AK","Alaska","male","> 54",83088
"211","GA","Georgia","male","> 54",1100927
"212","HI","Hawaii","male","> 54",192113
"213","ID","Idaho","male","> 54",207804
"214","IL","Illinois","male","> 54",1548064
"215","IN","Indiana","male","> 54",817977
"216","IA","Iowa","male","> 54",416956
"217","KS","Kansas","male","> 54",361316
"218","KY","Kentucky","male","> 54",564669
"219","LA","Louisiana","male","> 54",556360
"220","ME","Maine","male","> 54",209166
"221","AZ","Arizona","male","> 54",869282
"222","MD","Maryland","male","> 54",714751
"223","MA","Massachusetts","male","> 54",859043
"224","MI","Michigan","male","> 54",1334242
"225","MN","Minnesota","male","> 54",700133
"226","MS","Mississippi","male","> 54",360947
"227","MO","Missouri","male","> 54",788371
"228","MT","Montana","male","> 54",155275
"229","NE","Nebraska","male","> 54",235474
"230","NV","Nevada","male","> 54",358981
"231","NH","New Hampshire","male","> 54",192933
"232","AR","Arkansas","male","> 54",383669
"233","NJ","New Jersey","male","> 54",1109655
"234","NM","New Mexico","male","> 54",273897
"235","NY","New York","male","> 54",2417672
"236","NC","North Carolina","male","> 54",1223891
"237","ND","North Dakota","male","> 54",93927
"238","OH","Ohio","male","> 54",1539550
"239","OK","Oklahoma","male","> 54",478554
"240","OR","Oregon","male","> 54",548357
"241","PA","Pennsylvania","male","> 54",1773979
"242","PR","Puerto Rico","male","> 54",465525
"243","CA","California","male","> 54",4374848
"244","RI","Rhode Island","male","> 54",138823
"245","SC","South Carolina","male","> 54",633457
"246","SD","South Dakota","male","> 54",114392
"247","TN","Tennessee","male","> 54",833084
"248","TX","Texas","male","> 54",2802200
"249","UT","Utah","male","> 54",272041
"250","VT","Vermont","male","> 54",95017
"251","VA","Virginia","male","> 54",1004167
"252","WA","Washington","male","> 54",896731
"253","WV","West Virginia","male","> 54",278872
"254","CO","Colorado","male","> 54",635994
"255","WI","Wisconsin","male","> 54",778375
"256","WY","Wyoming","male","> 54",79077
"257","CT","Connecticut","male","> 54",473789
"258","DC","District of Columbia","male","> 54",62759
"259","DE","Delaware","male","> 54",126484
"260","FL","Florida","male","> 54",2922570
"261","AL","Alabama","female","18 - 24",235311
"262","AK","Alaska","female","18 - 24",34023
"263","GA","Georgia","female","18 - 24",495707
"264","HI","Hawaii","female","18 - 24",59758
"265","ID","Idaho","female","18 - 24",75443
"266","IL","Illinois","female","18 - 24",608617
"267","IN","Indiana","female","18 - 24",326369
"268","IA","Iowa","female","18 - 24",155357
"269","KS","Kansas","female","18 - 24",142541
"270","KY","Kentucky","female","18 - 24",207609
"271","LA","Louisiana","female","18 - 24",229104
"272","ME","Maine","female","18 - 24",55024
"273","AZ","Arizona","female","18 - 24",321795
"274","MD","Maryland","female","18 - 24",274478
"275","MA","Massachusetts","female","18 - 24",351315
"276","MI","Michigan","female","18 - 24",488499
"277","MN","Minnesota","female","18 - 24",248705
"278","MS","Mississippi","female","18 - 24",151509
"279","MO","Missouri","female","18 - 24",289367
"280","MT","Montana","female","18 - 24",47822
"281","NE","Nebraska","female","18 - 24",93211
"282","NV","Nevada","female","18 - 24",123012
"283","NH","New Hampshire","female","18 - 24",62872
"284","AR","Arkansas","female","18 - 24",141044
"285","NJ","New Jersey","female","18 - 24",383433
"286","NM","New Mexico","female","18 - 24",99636
"287","NY","New York","female","18 - 24",975200
