"","party","gender","age","race","education","urbanicity","married","vote2018","state","district","wave"
"408","Rep","Female","> 54","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-49","2018-09"
"409","Dem","Male","> 54","White","Bachelors","U5","Married","Democratic candidate","CA","CA-49","2018-09"
"410","Dem","Male","> 54","White","Bachelors","U5","Married","Democratic candidate","CA","CA-49","2018-09"
"411","Rep","Female","35 - 44","Other","Bachelors","S4","Married","Republican candidate","CA","CA-49","2018-09"
"412","Rep","Female","45 - 54","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-49","2018-09"
"413","Dem","Male","25 - 34","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"414","Ind","Female","> 54","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-49","2018-09"
"415","Ind","Male","18 - 24","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"416","Rep","Female","18 - 24","Hispanic","Bachelors","U5","Married","Democratic candidate","CA","CA-49","2018-09"
"417","Rep","Female","25 - 34","White","No Bachelors","S4","Married","Republican candidate","CA","CA-49","2018-09"
"418","Ind","Male","25 - 34","Hispanic","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"419","Dem","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"420","Dem","Male","> 54","White","Bachelors","U5","Married","Democratic candidate","CA","CA-49","2018-09"
"421","Dem","Male","> 54","Black","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"422","Dem","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"423","Rep","Male","25 - 34","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-49","2018-09"
"424","Rep","Female","25 - 34","White","Bachelors","U5","Married","Republican candidate","CA","CA-49","2018-09"
"425","Ind","Male","25 - 34","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"426","Rep","Female","> 54","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-49","2018-09"
"427","Rep","Male","18 - 24","Other","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"428","Rep","Male","45 - 54","White","Bachelors","U5","Married","Republican candidate","CA","CA-49","2018-09"
"429","Dem","Male","25 - 34","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"430","Ind","Female","25 - 34","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"431","Rep","Female","35 - 44","White","No Bachelors","S3","Married","Republican candidate","CA","CA-49","2018-09"
"432","Dem","Female","18 - 24","Black","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"433","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Married","Democratic candidate","CA","CA-49","2018-09"
"434","Rep","Female","25 - 34","White","No Bachelors","S4","Married","Republican candidate","CA","CA-49","2018-09"
"435","Ind","Male","> 54","White","Bachelors","U5","Married","Republican candidate","CA","CA-49","2018-09"
"436","Dem","Male","45 - 54","White","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"437","Dem","Female","35 - 44","White","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"438","Rep","Male","18 - 24","White","Bachelors","U5","Married","Republican candidate","CA","CA-49","2018-09"
"439","Ind","Female","35 - 44","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-49","2018-09"
"440","Dem","Female","18 - 24","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"441","Ind","Female","25 - 34","Hispanic","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-49","2018-09"
"442","Dem","Female","18 - 24","White","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-49","2018-09"
"443","Ind","Male","45 - 54","White","No Bachelors","S4","Married","Democratic candidate","CA","CA-49","2018-09"
"444","Dem","Male","35 - 44","White","Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"445","Rep","Female","35 - 44","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"446","Dem","Female","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"447","Ind","Female","25 - 34","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"448","Rep","Female","18 - 24","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"449","Ind","Male","25 - 34","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"450","Dem","Female","25 - 34","White","Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"451","Ind","Female","25 - 34","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"452","Dem","Male","18 - 24","Hispanic","No Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"453","Ind","Female","> 54","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"454","Rep","Male","18 - 24","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"455","Rep","Male","25 - 34","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"456","Dem","Female","18 - 24","White","Bachelors","U6","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"457","Ind","Female","25 - 34","White","No Bachelors","R1","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"458","Rep","Male","25 - 34","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"459","Dem","Female","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"460","Rep","Female","25 - 34","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"461","Dem","Female","35 - 44","White","No Bachelors","R2","Married","Other candidate/not sure","CO","CO-06","2018-09"
"462","Dem","Female","> 54","Black","No Bachelors","U6","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"463","Dem","Female","25 - 34","Black","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"464","Ind","Female","18 - 24","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"465","Dem","Male","35 - 44","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"466","Dem","Female","25 - 34","White","Bachelors","R2","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"467","Rep","Female","35 - 44","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"468","Rep","Male","35 - 44","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"469","Ind","Female","45 - 54","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"470","Rep","Female","45 - 54","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"471","Dem","Male","18 - 24","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"472","Dem","Female","45 - 54","Black","No Bachelors","U6","Unmarried","Republican candidate","CO","CO-06","2018-09"
"473","Rep","Female","45 - 54","White","Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"474","Dem","Female","35 - 44","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"475","Rep","Female","45 - 54","Black","Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"476","Dem","Female","18 - 24","White","No Bachelors","U6","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"477","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"478","Rep","Female","45 - 54","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"479","Ind","Female","25 - 34","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"480","Dem","Male","45 - 54","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"481","Dem","Female","18 - 24","Black","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"482","Ind","Female","35 - 44","Hispanic","Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"483","Rep","Male","18 - 24","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"484","Rep","Male","18 - 24","Hispanic","Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"485","Rep","Female","25 - 34","White","Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"486","Rep","Female","25 - 34","White","Bachelors","R2","Married","Republican candidate","CO","CO-06","2018-09"
"487","Dem","Male","> 54","Black","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"488","Ind","Male","45 - 54","White","Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"489","Ind","Female","18 - 24","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"490","Rep","Female","45 - 54","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"491","Ind","Female","18 - 24","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"492","Rep","Female","18 - 24","Hispanic","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"493","Dem","Male","35 - 44","White","Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"494","Rep","Female","35 - 44","White","No Bachelors","U6","Married","Republican candidate","CO","CO-06","2018-09"
"495","Ind","Male","25 - 34","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"496","Dem","Female","35 - 44","White","No Bachelors","U6","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"497","Dem","Male","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"498","Rep","Male","35 - 44","White","No Bachelors","R1","Unmarried","Republican candidate","CO","CO-06","2018-09"
"499","Ind","Female","18 - 24","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"500","Ind","Female","25 - 34","Black","No Bachelors","U6","Unmarried","Republican candidate","CO","CO-06","2018-09"
"501","Rep","Female","25 - 34","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"502","Rep","Female","45 - 54","White","No Bachelors","R2","Unmarried","Republican candidate","CO","CO-06","2018-09"
"503","Rep","Female","25 - 34","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"504","Dem","Male","25 - 34","Black","No Bachelors","S4","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"505","Ind","Female","18 - 24","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"506","Ind","Female","25 - 34","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"507","Ind","Male","35 - 44","White","Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"508","Rep","Female","18 - 24","Black","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"509","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"510","Ind","Female","18 - 24","White","Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"511","Dem","Female","35 - 44","White","Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"512","Dem","Female","35 - 44","White","Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"513","Rep","Female","25 - 34","Other","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"514","Rep","Female","> 54","White","Bachelors","R2","Married","Republican candidate","CO","CO-06","2018-09"
"515","Ind","Female","35 - 44","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"516","Dem","Female","45 - 54","White","No Bachelors","U6","Married","Democratic candidate","CO","CO-06","2018-09"
"517","Dem","Male","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"518","Ind","Male","35 - 44","White","Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"519","Ind","Female","25 - 34","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"520","Dem","Female","25 - 34","Black","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"521","Ind","Female","25 - 34","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"522","Dem","Female","25 - 34","White","Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"523","Dem","Male","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"524","Dem","Male","18 - 24","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"525","Ind","Male","18 - 24","White","No Bachelors","U6","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"526","Dem","Male","> 54","White","Bachelors","U6","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"527","Ind","Male","25 - 34","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"528","Ind","Female","25 - 34","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"529","Ind","Female","25 - 34","White","Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"530","Ind","Male","25 - 34","Other","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"531","Rep","Male","45 - 54","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"532","Dem","Male","> 54","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"533","Rep","Female","25 - 34","White","No Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"534","Rep","Male","35 - 44","Other","Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"535","Dem","Male","18 - 24","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"536","Dem","Male","25 - 34","White","Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"537","Dem","Female","> 54","White","No Bachelors","U6","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"538","Rep","Male","45 - 54","White","Bachelors","U5","Married","Republican candidate","CO","CO-06","2018-09"
"539","Ind","Male","> 54","Other","No Bachelors","U6","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"540","Dem","Female","> 54","Black","No Bachelors","R1","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"541","Dem","Male","45 - 54","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"542","Dem","Female","45 - 54","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"543","Dem","Male","18 - 24","Other","No Bachelors","R1","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"544","Rep","Male","18 - 24","Other","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"545","Rep","Female","25 - 34","White","Bachelors","S3","Married","Other candidate/not sure","CO","CO-06","2018-09"
"546","Dem","Male","18 - 24","Black","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"547","Ind","Female","45 - 54","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"548","Rep","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"549","Dem","Female","45 - 54","White","Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"550","Rep","Male","18 - 24","Black","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"551","Rep","Female","> 54","White","Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"552","Ind","Female","25 - 34","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"553","Ind","Male","45 - 54","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"554","Dem","Female","25 - 34","Other","Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"555","Ind","Female","25 - 34","White","No Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"556","Dem","Female","18 - 24","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"557","Dem","Female","18 - 24","Hispanic","Bachelors","U5","Unmarried","Democratic candidate","CO","CO-06","2018-09"
"558","Ind","Male","35 - 44","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"559","Dem","Female","35 - 44","Hispanic","No Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"560","Dem","Female","45 - 54","Other","Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"561","Rep","Female","25 - 34","White","No Bachelors","R2","Unmarried","Republican candidate","CO","CO-06","2018-09"
"562","Dem","Female","18 - 24","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CO","CO-06","2018-09"
"563","Ind","Male","35 - 44","White","No Bachelors","U5","Married","Democratic candidate","CO","CO-06","2018-09"
"564","Rep","Male","18 - 24","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"565","Rep","Male","45 - 54","White","No Bachelors","U5","Unmarried","Republican candidate","CO","CO-06","2018-09"
"566","Dem","Male","> 54","White","No Bachelors","U5","Married","Other candidate/not sure","CO","CO-06","2018-09"
"567","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"568","Dem","Male","45 - 54","White","No Bachelors","U5","Married","Democratic candidate","CA","CA-10","2018-10"
"569","Ind","Male","25 - 34","White","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-10"
"570","Dem","Female","35 - 44","White","Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-10"
"571","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"572","Dem","Female","25 - 34","Other","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"573","Ind","Female","25 - 34","White","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"574","Dem","Male","25 - 34","Black","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-10"
"575","Ind","Female","25 - 34","Black","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-10"
"576","Ind","Male","25 - 34","Other","Bachelors","S3","Married","Democratic candidate","CA","CA-10","2018-10"
"577","Rep","Female","18 - 24","Other","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-10"
"578","Ind","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"579","Rep","Female","35 - 44","White","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-10"
"580","Dem","Female","25 - 34","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"581","Rep","Female","25 - 34","White","Bachelors","S3","Married","Republican candidate","CA","CA-10","2018-10"
"582","Ind","Female","35 - 44","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"583","Rep","Female","18 - 24","Other","Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"584","Dem","Female","25 - 34","White","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"585","Ind","Male","18 - 24","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"586","Dem","Female","35 - 44","White","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"587","Rep","Male","45 - 54","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-10"
"588","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"589","Ind","Female","25 - 34","Other","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"590","Dem","Female","45 - 54","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"591","Dem","Female","45 - 54","White","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-10","2018-10"
"592","Dem","Female","25 - 34","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"593","Ind","Female","> 54","White","Bachelors","R2","Married","Democratic candidate","CA","CA-10","2018-10"
"594","Rep","Female","35 - 44","White","No Bachelors","R2","Married","Republican candidate","CA","CA-10","2018-10"
"595","Rep","Male","25 - 34","White","Bachelors","S3","Married","Republican candidate","CA","CA-10","2018-10"
"596","Ind","Male","18 - 24","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"597","Ind","Female","25 - 34","Hispanic","No Bachelors","U5","Married","Republican candidate","CA","CA-10","2018-10"
"598","Rep","Male","35 - 44","Other","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-10"
"599","Dem","Male","18 - 24","Other","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"600","Dem","Female","35 - 44","Hispanic","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"601","Rep","Male","18 - 24","White","Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-10"
"602","Dem","Male","25 - 34","Black","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"603","Dem","Male","35 - 44","Hispanic","No Bachelors","S4","Married","Republican candidate","CA","CA-10","2018-10"
"604","Dem","Female","45 - 54","Hispanic","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-10"
"605","Rep","Male","25 - 34","Hispanic","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-10"
"606","Rep","Female","18 - 24","Hispanic","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"607","Ind","Female","> 54","White","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-10"
"608","Dem","Female","45 - 54","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"609","Dem","Female","25 - 34","Hispanic","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"610","Dem","Female","35 - 44","Hispanic","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"611","Dem","Female","25 - 34","White","Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-10"
"612","Rep","Female","18 - 24","Hispanic","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-21","2018-10"
"613","Dem","Male","25 - 34","Other","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"614","Rep","Female","25 - 34","White","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"615","Dem","Male","25 - 34","Hispanic","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"616","Dem","Male","45 - 54","White","No Bachelors","R1","Married","Republican candidate","CA","CA-21","2018-10"
"617","Ind","Female","35 - 44","Black","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"618","Dem","Female","35 - 44","White","No Bachelors","R2","Married","Democratic candidate","CA","CA-21","2018-10"
"619","Dem","Female","45 - 54","Hispanic","Bachelors","R2","Married","Democratic candidate","CA","CA-21","2018-10"
"620","Dem","Male","25 - 34","Hispanic","Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-10"
"621","Dem","Female","18 - 24","Hispanic","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"622","Dem","Female","25 - 34","White","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"623","Dem","Female","18 - 24","Hispanic","Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-10"
"624","Dem","Male","18 - 24","Other","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"625","Rep","Male","25 - 34","White","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"626","Rep","Female","25 - 34","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"627","Dem","Female","25 - 34","Hispanic","No Bachelors","R1","Married","Republican candidate","CA","CA-21","2018-10"
"628","Dem","Female","> 54","White","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"629","Dem","Female","35 - 44","Hispanic","No Bachelors","S3","Married","Other candidate/not sure","CA","CA-21","2018-10"
"630","Dem","Female","35 - 44","Hispanic","No Bachelors","R2","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"631","Rep","Female","35 - 44","White","No Bachelors","R2","Married","Republican candidate","CA","CA-21","2018-10"
"632","Dem","Female","35 - 44","Hispanic","Bachelors","R1","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"633","Ind","Male","18 - 24","Hispanic","No Bachelors","R1","Married","Republican candidate","CA","CA-21","2018-10"
"634","Dem","Female","18 - 24","Black","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"635","Rep","Female","18 - 24","Hispanic","No Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-10"
"636","Ind","Female","25 - 34","Hispanic","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"637","Rep","Male","25 - 34","White","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"638","Ind","Female","18 - 24","Other","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-21","2018-10"
"639","Ind","Female","18 - 24","Hispanic","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"640","Rep","Female","25 - 34","White","No Bachelors","R2","Unmarried","Republican candidate","CA","CA-21","2018-10"
"641","Rep","Male","25 - 34","White","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-21","2018-10"
"642","Rep","Female","25 - 34","Other","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"643","Ind","Female","25 - 34","White","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-21","2018-10"
"644","Dem","Female","25 - 34","Hispanic","No Bachelors","R2","Married","Other candidate/not sure","CA","CA-21","2018-10"
"645","Rep","Female","35 - 44","Hispanic","No Bachelors","R2","Married","Republican candidate","CA","CA-21","2018-10"
"646","Ind","Female","18 - 24","Other","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-25","2018-10"
"647","Rep","Male","45 - 54","White","No Bachelors","R1","Unmarried","Republican candidate","CA","CA-25","2018-10"
"648","Ind","Male","25 - 34","Black","Bachelors","R2","Unmarried","Democratic candidate","CA","CA-25","2018-10"
"649","Dem","Male","25 - 34","Black","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-25","2018-10"
"650","Rep","Female","18 - 24","White","Bachelors","R2","Unmarried","Democratic candidate","CA","CA-25","2018-10"
"651","Ind","Female","25 - 34","White","Bachelors","S4","Married","Other candidate/not sure","CA","CA-25","2018-10"
"652","Ind","Male","18 - 24","Black","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-25","2018-10"
"653","Dem","Male","35 - 44","White","Bachelors","S4","Married","Democratic candidate","CA","CA-25","2018-10"
"654","Rep","Male","18 - 24","Black","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-25","2018-10"
"655","Dem","Male","18 - 24","Other","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-25","2018-10"
"656","Rep","Male","18 - 24","Hispanic","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-25","2018-10"
