party,gender,age,race,education,urbanicity,married,vote2018,district,wave
Ind,Male,25 - 34,Black,Bachelors,U5,Unmarried,Other candidate/not sure,CA-45,2018-09
Ind,Female,25 - 34,Other,No Bachelors,S3,Married,Republican candidate,CA-45,2018-09
Ind,Male,35 - 44,White,Bachelors,S3,Unmarried,Other candidate/not sure,CA-45,2018-09
Ind,Male,25 - 34,Other,No Bachelors,S4,Unmarried,Other candidate/not sure,CA-45,2018-09
Dem,Female,45 - 54,Hispanic,No Bachelors,U5,Unmarried,Democratic candidate,CA-45,2018-09
Rep,Female,45 - 54,White,No Bachelors,U5,Unmarried,Other candidate/not sure,CA-45,2018-09
Rep,Male,18 - 24,Other,No Bachelors,U5,Unmarried,Other candidate/not sure,CA-45,2018-09
Dem,Male,> 54,White,Bachelors,U5,Married,Democratic candidate,CA-45,2018-09
Rep,Female,25 - 34,Other,Bachelors,S3,Unmarried,Republican candidate,CA-45,2018-09
Rep,Male,45 - 54,White,No Bachelors,S3,Unmarried,Republican candidate,CA-45,2018-09
Ind,Male,25 - 34,Black,No Bachelors,U5,Married,Other candidate/not sure,CA-45,2018-09
Dem,Female,25 - 34,Hispanic,Bachelors,U5,Unmarried,Other candidate/not sure,CA-45,2018-09
Rep,Female,25 - 34,Other,No Bachelors,U5,Unmarried,Republican candidate,CA-45,2018-09
Rep,Male,18 - 24,Other,Bachelors,U5,Unmarried,Republican candidate,CA-45,2018-09
Dem,Female,25 - 34,Hispanic,No Bachelors,U5,Unmarried,Other candidate/not sure,CA-45,2018-09
