,Model,Data,Accuracy,MSE,Precision,Recall,f1
0,Multilevel-RP,generic,0.7297297297297297,0.00495896318320641,0.6428571428571429,0.6428571428571429,0.6428571428571429
1,Multilevel-RP,specific,0.6216216216216216,0.004870785900381951,0.42857142857142855,0.5,0.4615384615384615
2,Varying slopes,generic,0.6756756756756757,0.004983196763382591,0.7142857142857143,0.5555555555555556,0.6250000000000001
3,Varying slopes,specific,0.6756756756756757,0.00528058282975745,0.5,0.5833333333333334,0.5384615384615384
